,,,,,,,,,,Modal Only,,,,,,
Depth1,Depth2,Depth3,사용자 행동,행동 패턴,UI Type,조건,responseCode,Title,Category,Identifier,Description,Condition,Left button,Right button,Classification,사유
공통,-,-,"삭제, 확정, 취소, 전송 등 다건 작업",다건 작업,Confirm Modal,체크박스가 1건도 선택되지 않은 경우,,항목을 선택해 주세요.,정보/안내 메시지,-,-,-,-,확인,,사용자가 필수적으로 해야 할 행동을 구체적으로 알려주고 오류를 즉시 해결하도록 유도해야 합니다. Toast는 쉽게 놓칠 수 있습니다.
공통,-,-,,버튼 클릭,Confirm Modal,입력 항목 누락,,,정보/안내 메시지,,{{항목}}을(를) 입력해 주시기 바랍니다.,,-,확인,,
공통,-,-,페이지 이동/이탈 시도,페이지 이동/이탈,Destructive Modal,입력 중인 항목이 있으나 저장은 되지 않은 상태,,수정한 {{n}}건을 저장하지 않고 나가시겠습니까?,데이터 변경 확인,,저장하지 않으면 변경한 정보는 모두 사라집니다.,,취소,확인,,
,-,-,,,,,,1건의 수정사항이 저장되지 않았습니다,,,"페이지를 이동하면 지금까지 수정한 내용이 저장되지 않으며, 복구할 수 없습니다.",,계속 작성하기,,,
공통,-,-,,,Confirm Modal,편집형 모달 → 그리드 편집 후 “저장”하지 않고 닫기 버튼 클릭 시,,작성 중인 데이터가 있습니다.,데이터 변경 확인,,화면을 나가면 작성된 데이터가 삭제됩니다.,,취소,나가기,,
공통,-,-,버튼 클릭,,Confirm Modal,시도,,{{행동명}}을 {{행동}}하시겠습니까?,데이터 변경 확인,,,,취소,확인,,
공통,-,-,액션 시도,,Toast-Sucess,성공,,총 {{n}}건의 {{행동명}}이 완료되었습니다.,정보/안내 메시지,-,-,-,-,-,,
공통,-,-,액션 시도,,Confirm Modal,네트워크/일시적 에러 등으로 인한 실패,,{{행동명}}에 실패했습니다. 잠시 후 다시 시도해 주세요.,정보/안내 메시지,,,,-,확인,,
,-,-,,,Confirm Modal,,,비밀번호를 초기화하시겠어요?,데이터 변경 확인,,-,,취소,확인,,
공통,-,-,엑셀 파일 다운로드,,,성공,,,,,별도의 토스트/모달 없음,,-,,,
공통,-,-,엑셀 파일 업로드,,Cell-level Error,실패,,업로드가 불가능한 데이터가 존재합니다.,,,,,-,-,,
계약관리,매출/매입 계약관리,계약 마스터,버튼 공통,,Confirm Modal,미선택,,계약을 먼저 선택해 주세요.,,-,-,-,-,확인,,사용자에게 필수적인 다음 행동을 명확히 지시해야 합니다.
